variant,attrs,threads,offered_ops_s,tput_ops_s,loss_pct
quent-span/ndjson,4,16,3856274.735604308,1690508.8297942958,0
quent-span/noop,4,16,3927822.552729113,,
quent-span/postcard,4,16,3859654.7700913656,1813865.496027381,0
tracing-log/file,4,16,7273688.378234908,2222822.469182488,69.44022958374391
tracing-span/file,4,16,4557947.620909161,1743716.8539665258,61.74337664681826
otel-log/grpc,4,32,31371058.95581932,97207.24841366326,99.69013717850403
otel-log/noop,4,32,17153939.911343805,,
otel-span/grpc,4,32,9154263.962551408,333870.84338358155,96.35283792613592
otel-span/noop,4,32,5688637.986074704,,
quent-log/grpc,4,32,4022291.6610543127,785448.5322890764,0
quent-log/msgpack,4,32,3892214.0527633284,2156641.0747451712,0
quent-log/ndjson,4,32,3313582.05374033,1524817.1903913321,0
quent-log/noop,4,32,3965199.1284936415,,
quent-log/postcard,4,32,4057385.740715844,2661544.559648883,0
quent-span/grpc,4,32,3854892.1378917815,492353.49893811817,0
quent-span/msgpack,4,32,3454049.734979572,1478294.606819092,0
quent-span/ndjson,4,32,2989450.9376356816,1382218.607130818,0
quent-span/noop,4,32,4178200.7726959777,,
quent-span/postcard,4,32,3281591.479589248,1415195.7133625608,0
tracing-log/file,4,32,5105363.848164529,2652176.3816568027,48.051177927106835
tracing-span/file,4,32,6346338.328106795,1016295.404899085,83.98611368703595
otel-log/grpc,8,1,1334966.1090218201,198423.69218635117,85.13642474925871
otel-log/noop,8,1,645182.5955006246,,
otel-span/grpc,8,1,2506310.4982235115,40087.993879167,98.40051765702687
otel-span/noop,8,1,773540.8418112204,,
quent-log/grpc,8,1,1181366.2868748896,474227.1908633189,0
quent-log/msgpack,8,1,599567.8875861822,519436.39544996346,0
quent-log/ndjson,8,1,980489.769906294,741036.2242693845,0
quent-log/noop,8,1,4495495.016117777,,
quent-log/postcard,8,1,564805.4331246272,519219.2093991935,0
quent-span/grpc,8,1,1053858.2655311488,369837.9634866475,0
quent-span/msgpack,8,1,486425.3569911812,415938.9578034613,0
quent-span/ndjson,8,1,848023.6545208042,611448.0236429218,0
quent-span/noop,8,1,3780142.18993507,,
quent-span/postcard,8,1,515318.6364520056,473328.7180264916,0
tracing-log/file,8,1,555151.6298512252,555151.516127909,0.00002048509093466322
tracing-span/file,8,1,230598.6735601104,230598.6541509639,0.00000841685088293076
otel-log/grpc,8,2,3301782.397724892,183734.35117735114,94.4352979983189
otel-log/noop,8,2,2757346.5635453793,,
otel-span/grpc,8,2,3909042.407647236,40744.708086647915,98.95768058164477
otel-span/noop,8,2,2319684.1271278113,,
quent-log/grpc,8,2,2698163.2654247866,551303.9360480686,0
quent-log/msgpack,8,2,1747647.2425701322,1124338.1853113328,0
quent-log/ndjson,8,2,2407590.072157882,1231800.9903108405,0
quent-log/noop,8,2,5875783.020800337,,
quent-log/postcard,8,2,1881393.122578164,1311326.8334962279,0
quent-span/grpc,8,2,2301129.44138793,380897.37037566554,0
quent-span/msgpack,8,2,1270360.2793646494,845418.8211793692,0
quent-span/ndjson,8,2,2016064.0487419774,1025864.0063892863,0
quent-span/noop,8,2,5035736.747887821,,
quent-span/postcard,8,2,1254146.068161433,953904.5851100847,0
tracing-log/file,8,2,1115243.0065245356,1115242.604787951,0.000036022336136198874
tracing-span/file,8,2,472699.27924390347,472699.20684786147,0.00001531545428257175
otel-log/grpc,8,4,7483730.650206351,155755.9583406596,97.91873912062343
